[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         11148287 function calls (10944247 primitive calls) in 68.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4008    0.020    0.000    0.021    0.000 {method 'sub' of 're.Pattern' objects}
     5347    0.019    0.000    0.027    0.000 inspect.py:2920(__init__)
  192/150    0.019    0.000    0.065    0.000 {built-in method _imp.exec_dynamic}
       82    0.019    0.000    0.075    0.001 modeling_attn_mask_utils.py:186(_expand_mask)
4489/4485    0.019    0.000    0.256    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    33418    0.018    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1160    0.018    0.000    0.082    0.000 arraylike.py:253(array_ufunc)
     2058    0.018    0.000    0.021    0.000 _ops.py:688(__init__)
      431    0.018    0.000    0.050    0.000 doccer.py:29(docformat)
     8196    0.018    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.018    0.018    0.018    0.018 {built-in method from_file}
      478    0.018    0.000    0.041    0.000 assumptions.py:614(_prepare_class_assumptions)
     3531    0.018    0.000    0.024    0.000 take.py:120(_take_nd_ndarray)
    33418    0.017    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    36760    0.017    0.000    0.017    0.000 {method 'split' of 'str' objects}
      787    0.017    0.000   15.860    0.020 __init__.py:1(<module>)
     1728    0.017    0.000    0.017    0.000 {method 'permute' of 'torch._C.TensorBase' objects}
      323    0.016    0.000    0.029    0.000 import_utils.py:2016(__init__)
      206    0.016    0.000    0.016    0.000 storage.py:463(__getitem__)
33807/31324    0.016    0.000    0.093    0.000 {built-in method builtins.any}
    28019    0.016    0.000    0.016    0.000 {method 'match' of 're.Pattern' objects}
     8086    0.016    0.000    0.016    0.000 {method '__exit__' of '_io._IOBase' objects}
20323/17195    0.016    0.000    3.076    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1225    0.016    0.000    0.016    0.000 {built-in method torch._C._jit_get_operation}
    15253    0.016    0.000    0.019    0.000 <frozen importlib._bootstrap>:125(release)
       96    0.015    0.000    0.015    0.000 {built-in method torch.sum}
     3183    0.015    0.000    0.015    0.000 {built-in method torch._C._dispatch_has_kernel_for_dispatch_key}
     1717    0.015    0.000    0.015    0.000 {method 'findall' of 're.Pattern' objects}
    10368    0.015    0.000    0.028    0.000 inspect.py:2637(__init__)
 3689/355    0.014    0.000    0.035    0.000 sre_compile.py:87(_compile)
     1248    0.014    0.000    0.034    0.000 functional.py:1401(dropout)
 4318/625    0.014    0.000    4.891    0.008 <frozen importlib._bootstrap>:664(_load_unlocked)
     4850    0.014    0.000    0.014    0.000 {method 'copy' of 'numpy.ndarray' objects}
     2325    0.014    0.000    0.021    0.000 managers.py:1265(_iset_single)
     4325    0.013    0.000    0.069    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     3000    0.013    0.000    0.014    0.000 tokenization_utils_fast.py:307(_convert_encoding)
 4435/622    0.013    0.000    4.962    0.008 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
