[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         11148287 function calls (10944247 primitive calls) in 68.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.003    0.002 callable.py:1(<module>)
        6    0.000    0.000    0.005    0.001 modeling_bert.py:527(__init__)
       70    0.000    0.000    0.004    0.000 typing.py:1040(__or__)
        1    0.000    0.000    0.000    0.000 package_importer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:369(<dictcomp>)
        1    0.000    0.000    0.006    0.006 resources.py:1(<module>)
       13    0.000    0.000    0.001    0.000 normalization.py:210(reset_parameters)
       37    0.000    0.000    0.000    0.000 libmpf.py:950(mpf_div)
        1    0.000    0.000    0.026    0.026 _snapshot_download.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gammazeta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenization_utils_fast.py:81(PreTrainedTokenizerFast)
       36    0.000    0.000    0.000    0.000 constraints.py:205(__init__)
        1    0.000    0.000    0.000    0.000 graph_region_tracker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compile.py:1(<module>)
        3    0.000    0.000    0.001    0.000 configs.py:75(__new__)
        8    0.000    0.000    0.001    0.000 cookiejar.py:1583(_cookies_from_attrs_set)
       10    0.000    0.000    0.000    0.000 inspect.py:801(getmodulename)
        1    0.000    0.000    0.001    0.001 iterables.py:1(<module>)
        1    0.000    0.000    0.000    0.000 trace_rules.py:2950(FunctionIdSet)
        1    0.000    0.000    0.003    0.003 hyperbolic.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       52    0.000    0.000    0.000    0.000 accessor.py:79(forbid_nonstring_types)
       10    0.000    0.000    0.000    0.000 typing_extensions.py:567(_get_protocol_attrs)
        4    0.000    0.000    0.011    0.003 _array_api.py:736(_asarray_with_order)
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
    29/25    0.000    0.000    0.000    0.000 _regex_core.py:2876(_compile)
        1    0.000    0.000    0.000    0.000 pyfunctorch.py:1(<module>)
        2    0.000    0.000    0.000    0.000 CachedMultipleNegativesRankingLoss.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:326(CompileEventLogger)
        2    0.000    0.000    0.001    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 polyoptions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 binary.py:182(<dictcomp>)
      110    0.000    0.000    0.000    0.000 tokenize.py:614(generate_tokens)
        1    0.000    0.000    0.001    0.001 splitter_base.py:1(<module>)
       14    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:981(filtered)
        1    0.000    0.000    0.001    0.001 branchings.py:1(<module>)
       24    0.000    0.000    0.000    0.000 weakref.py:153(__contains__)
        1    0.000    0.000    0.003    0.003 _cache_manager.py:1(<module>)
       62    0.000    0.000    0.000    0.000 unary.py:155(_torch_unary)
        1    0.000    0.000    0.002    0.002 arpack.py:1(<module>)
       40    0.000    0.000    0.000    0.000 __init__.py:1636(addHandler)
        2    0.000    0.000    0.000    0.000 {built-in method torch.rsub}
        2    0.000    0.000    0.000    0.000 doc.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _operator.truediv}
       42    0.000    0.000    0.000    0.000 _regex_core.py:3911(get_firstset)
        1    0.000    0.000    0.002    0.002 singularity_functions.py:1(<module>)
       70    0.000    0.000    0.000    0.000 _docscrape.py:470(_str_extended_summary)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        9    0.000    0.000    0.001    0.000 sessions.py:254(rebuild_auth)
      208    0.000    0.000    0.000    0.000 {method 'get_dtype' of 'builtins.PySafeSlice' objects}
       24    0.000    0.000    0.000    0.000 decorators.py:389(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _dtypes.py:1(<module>)
       70    0.000    0.000    0.000    0.000 _docscrape.py:460(_str_signature)
       68    0.000    0.000    0.000    0.000 status_codes.py:114(doc)
        3    0.000    0.000    0.000    0.000 connectivity.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenization_utils_fast.py:1(<module>)
       47    0.000    0.000    0.000    0.000 numbers.py:1965(__eq__)
        6    0.000    0.000    0.000    0.000 _version.py:55(__init__)
        3    0.000    0.000    0.000    0.000 response.py:1(<module>)
       56    0.000    0.000    0.000    0.000 decorators.py:371(<genexpr>)
        1    0.000    0.000    0.002    0.002 _fsdp_common.py:1(<module>)
     21/1    0.000    0.000    0.000    0.000 tokenization_utils_base.py:2295(convert_added_tokens)
        3    0.000    0.000    0.000    0.000 {method 'mul' of 'torch._C.TensorBase' objects}
       16    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.dragon4_positional}
        1    0.000    0.000    0.002    0.002 _pslinux.py:1675(Process)
        6    0.000    0.000    0.015    0.003 generic.py:2149(__array__)
        2    0.000    0.000    0.011    0.005 readers.py:1848(_make_engine)
      103    0.000    0.000    0.000    0.000 _param_validation.py:368(is_satisfied_by)
      100    0.000    0.000    0.000    0.000 _script.py:942(<lambda>)
        1    0.000    0.000    0.001    0.001 formal.py:1(<module>)
        3    0.000    0.000    0.000    0.000 std.py:686(_decr_instances)
       14    0.000    0.000    0.000    0.000 locale.py:657(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 strict_mode.py:1(<module>)
       20    0.000    0.000    0.004    0.000 regex.py:331(findall)
        6    0.000    0.000    0.000    0.000 managers.py:1412(_insert_update_blklocs_and_blknos)
        1    0.000    0.000    0.292    0.292 tokenization_auto.py:731(get_tokenizer_config)
        2    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compile_tasks.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _torch_docs.py:10(parse_kwargs)
        1    0.000    0.000    0.001    0.001 _core.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:1513(__init__)
        1    0.000    0.000    0.000    0.000 plane.py:1(<module>)
        2    0.000    0.000    0.005    0.002 _config.py:1(<module>)
       25    0.000    0.000    0.000    0.000 _validators.py:226(validate_bool_kwarg)
        9    0.000    0.000    0.000    0.000 typing_extensions.py:757(__init_subclass__)
        1    0.000    0.000    0.002    0.002 client.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:754(validation)
        1    0.000    0.000    0.000    0.000 melt.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:4152(OrderStatisticDistribution)
        2    0.000    0.000    0.001    0.000 asyncio.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3009(_moment_raw_dispatch)
        1    0.000    0.000    0.000    0.000 logging_tensor.py:1(<module>)
      126    0.000    0.000    0.000    0.000 _param_validation.py:597(<genexpr>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 audio_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compile_utils.py:1(<module>)
    28/27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:770(create_module)
        1    0.000    0.000    0.300    0.300 SentenceTransformer.py:2418(_get_model_type)
       58    0.000    0.000    0.000    0.000 _scorer.py:234(__init__)
        1    0.000    0.000    0.002    0.002 itertools.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.001    0.001 fancysets.py:1(<module>)
       16    0.000    0.000    0.000    0.000 concat.py:389(is_na)
        1    0.000    0.000    0.000    0.000 compatibility.py:240(IPolys)
        1    0.000    0.000    0.000    0.000 _run.py:30(Run)
        1    0.000    0.000    0.000    0.000 model_card.py:265(SentenceTransformerModelCardData)
        1    0.000    0.000    0.002    0.002 _tensor.py:1(<module>)
       26    0.000    0.000    0.000    0.000 _function_base_impl.py:339(iterable)
        4    0.000    0.000    0.000    0.000 getlimits.py:312(_get_machar)
        8    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      136    0.000    0.000    0.000    0.000 __init__.py:27(decorator)
        1    0.000    0.000    0.000    0.000 smtlib.py:25(SMTLibPrinter)
        1    0.000    0.000    0.000    0.000 __init__.py:432(_sanity_check)
        1    0.000    0.000    0.000    0.000 from_dataframe.py:1(<module>)
       21    0.000    0.000    0.000    0.000 client.py:806(_get_content_length)
        1    0.000    0.000    0.008    0.008 _pickle.py:1(<module>)
       20    0.000    0.000    0.000    0.000 decorator.py:317(deprecated_decorator)
        1    0.000    0.000    0.009    0.009 ggml.py:1(<module>)
       84    0.000    0.000    0.000    0.000 typing.py:1967(no_type_check)
        1    0.000    0.000    0.000    0.000 SparseStaticEmbedding.py:24(SparseStaticEmbedding)
        1    0.000    0.000    0.000    0.000 tokenization_utils.py:406(PreTrainedTokenizer)
       11    0.000    0.000    0.000    0.000 versions.py:37(_compare_versions)
       36    0.000    0.000    0.000    0.000 typing_extensions.py:1603(_set_default)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        6    0.000    0.000    0.000    0.000 printer.py:392(__init__)
        2    0.000    0.000    0.000    0.000 range.py:137(__new__)
        6    0.000    0.000    0.000    0.000 missing.py:261(_isna_array)
        5    0.000    0.000    0.000    0.000 cast.py:1615(maybe_cast_to_integer_array)
        6    0.000    0.000    0.001    0.000 modeling_bert.py:513(__init__)
        2    0.000    0.000    0.001    0.000 common.py:664(get_handle)
        2    0.000    0.000    0.000    0.000 geometric.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _xet.py:29(parse_xet_file_data_from_response)
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
       16    0.000    0.000    0.000    0.000 concat.py:322(_get_block_for_concat_plan)
        1    0.000    0.000    0.003    0.003 sbcsgroupprober.py:1(<module>)
      232    0.000    0.000    0.000    0.000 fromnumeric.py:2584(_all_dispatcher)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.002    0.002 candidate_generator.py:1(<module>)
       32    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
       15    0.000    0.000    0.000    0.000 args_doc.py:967(equalize_indent)
       11    0.000    0.000    0.000    0.000 _config_module.py:369(__getattr__)
      243    0.000    0.000    0.000    0.000 import_utils.py:1280(is_tokenizers_available)
    29/25    0.000    0.000    0.000    0.000 _regex_core.py:2847(optimise)
        1    0.000    0.000    0.001    0.001 ext.py:1(<module>)
       19    0.000    0.000    0.000    0.000 dropout.py:22(__init__)
      110    0.000    0.000    0.000    0.000 _param_validation.py:150(validate_params)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        4    0.000    0.000    0.001    0.000 _docscrape.py:680(methods)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
       58    0.000    0.000    0.000    0.000 unary.py:164(_torch_inplace_unary)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       45    0.000    0.000    0.000    0.000 inspect.py:2064(<listcomp>)
        1    0.000    0.000    0.000    0.000 _multiufuncs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ctx_mp.py:1(<module>)
      106    0.000    0.000    0.000    0.000 modeling_utils.py:4409(<genexpr>)
        1    0.000    0.000    0.000    0.000 spfun_stats.py:1(<module>)
      189    0.000    0.000    0.000    0.000 status_codes.py:115(<genexpr>)
        2    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
        1    0.000    0.000    0.000    0.000 configuration_squeezebert.py:1(<module>)
      155    0.000    0.000    0.000    0.000 {function FreezableDefaultDict.__missing__ at 0x76d4e5dde320}
        1    0.000    0.000    0.002    0.002 gmpy.py:1(<module>)
       56    0.000    0.000    0.000    0.000 accessors.py:169(<lambda>)
        3    0.000    0.000    0.000    0.000 models.py:876(json)
       10    0.000    0.000    0.006    0.001 util.py:1837(check_package_availability)
        1    0.000    0.000    0.009    0.009 backends.py:554(_set_configs_from_environment)
        1    0.000    0.000    0.004    0.004 _fsdp_state.py:1(<module>)
       21    0.000    0.000    0.000    0.000 request.py:98(set_file_position)
        1    0.000    0.000    0.000    0.000 kl.py:959(_add_kl_info)
        1    0.000    0.000    0.001    0.001 ntpath.py:1(<module>)
     10/2    0.000    0.000    0.000    0.000 arrayprint.py:837(recurser)
       50    0.000    0.000    0.000    0.000 config.py:780(config_prefix)
       41    0.000    0.000    0.000    0.000 getlimits.py:721(max)
        1    0.000    0.000    0.001    0.001 autotune_cache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 convert_slow_tokenizer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 kronecker.py:1(<module>)
        1    0.000    0.000    0.022    0.022 point.py:1(<module>)
        6    0.000    0.000    0.002    0.000 modeling_bert.py:326(__init__)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 libmpc.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.001    0.001 auxfuncs.py:1(<module>)
        2    0.000    0.000    0.009    0.004 compat.py:1(<module>)
        3    0.000    0.000    0.000    0.000 autocast_mode.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _psposix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _weights_only_unpickler.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _fsdp_param_group.py:1(<module>)
       23    0.000    0.000    0.000    0.000 common.py:574(condition)
       11    0.000    0.000    0.000    0.000 typing.py:1171(__repr__)
        1    0.000    0.000    0.002    0.002 configuration_maskformer.py:1(<module>)
       38    0.000    0.000    0.000    0.000 observer.py:100(_with_args)
        5    0.000    0.000    0.000    0.000 decorator.py:75(__init__)
       29    0.000    0.000    0.000    0.000 frame.py:1047(shape)
        1    0.000    0.000    0.479    0.479 _param_validation.py:1(<module>)
        9    0.000    0.000    0.000    0.000 cookies.py:426(_copy_cookie_jar)
       25    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
       16    0.000    0.000    0.000    0.000 base.py:774(_view)
       22    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        4    0.000    0.000    0.000    0.000 exceptions.py:17(__init__)
       21    0.000    0.000    0.000    0.000 timeout.py:195(start_connect)
        1    0.000    0.000    0.000    0.000 ring_series.py:1(<module>)
        1    0.000    0.000    0.001    0.001 functional_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'neg' of 'torch._C.TensorBase' objects}
       33    0.000    0.000    0.003    0.000 doccer.py:289(decorate)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 flex_attention.py:203(BlockMask)
       42    0.000    0.000    0.000    0.000 _typing.py:301(__init__)
        1    0.000    0.000    0.000    0.000 asserters.py:1(<module>)
        1    0.000    0.000    0.001    0.001 rng_prims.py:1(<module>)
      208    0.000    0.000    0.000    0.000 {method 'get_shape' of 'builtins.PySafeSlice' objects}
        1    0.000    0.000    0.000    0.000 grouper.py:1(<module>)
       44    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
       32    0.000    0.000    0.000    0.000 c_parser_wrapper.py:367(<listcomp>)
        4    0.000    0.000    0.000    0.000 datetimelike.py:390(__getitem__)
        7    0.000    0.000    0.000    0.000 copy.py:259(_reconstruct)
       42    0.000    0.000    0.000    0.000 locale.py:605(setlocale)
        2    0.000    0.000    0.000    0.000 determinant.py:1(<module>)
       97    0.000    0.000    0.000    0.000 import_utils.py:675(is_tf_available)
       23    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
      120    0.000    0.000    0.000    0.000 {method 'issubset' of 'set' objects}
        1    0.000    0.000    0.000    0.000 profiler.py:540(profile)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:306(__init__)
        1    0.000    0.000    0.013    0.013 __init__.py:35(_discover_backends)
        1    0.000    0.000    0.000    0.000 trace_rules.py:3024(<dictcomp>)
      242    0.000    0.000    0.000    0.000 fromnumeric.py:3323(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 lowrank_multivariate_normal.py:1(<module>)
        1    0.000    0.000    0.006    0.006 platform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 CrossEncoder.py:50(CrossEncoder)
       21    0.000    0.000    0.000    0.000 parse.py:197(_userinfo)
        1    0.000    0.000    0.005    0.005 union.py:1(<module>)
       19    0.000    0.000    0.000    0.000 pythonmpq.py:57(__new__)
        1    0.000    0.000    0.000    0.000 generic.py:154(SeriesGroupBy)
        1    0.000    0.000    0.000    0.000 graph_manipulation.py:1(<module>)
        9    0.000    0.000    0.002    0.000 _meta_registrations.py:7162(_create_unary_float_meta_func)
        1    0.000    0.000    0.003    0.003 util.py:1807(get_device_name)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
       11    0.000    0.000    0.000    0.000 shape_base.py:80(atleast_2d)
        3    0.000    0.000    0.000    0.000 numba_.py:1(<module>)
        1    0.000    0.000    0.072    0.072 specialpolys.py:1(<module>)
       21    0.000    0.000    0.000    0.000 _internal_utils.py:30(unicode_is_ascii)
       21    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3281(__new__)
        1    0.000    0.000    0.004    0.004 complexes.py:1(<module>)
        3    0.000    0.000    0.022    0.007 __init__.py:456(load)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
       49    0.000    0.000    0.000    0.000 core.py:129(get_object_signature)
       42    0.000    0.000    0.034    0.001 jit.py:759(jit)
        2    0.000    0.000    0.000    0.000 clique.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:121(PeriodArray)
        1    0.000    0.000    0.000    0.000 squad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 operator_support.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ctx_iv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 statistics.py:1(<module>)
        2    0.000    0.000    0.004    0.002 unary.py:1(<module>)
       76    0.000    0.000    0.000    0.000 managers.py:2264(<lambda>)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 input_output_analysis.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:7107(getdoc)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 trigsimp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 graph_deduplication.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _parallel_backends.py:1(<module>)
        1    0.000    0.000    0.001    0.001 container.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _strptime.py:26(_getlang)
        1    0.000    0.000    0.000    0.000 _type_check_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        2    0.000    0.000    0.000    0.000 power.py:136(__new__)
        1    0.000    0.000    0.001    0.001 cli_function_profiler.py:1(<module>)
        1    0.000    0.000    0.001    0.001 stateless.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyoptions.py:187(_init_dependencies_order)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       13    0.000    0.000    0.000    0.000 _infra.py:79(from_sarif)
        1    0.000    0.000    0.000    0.000 depth_first_search.py:1(<module>)
        1    0.000    0.000    0.000    0.000 logits_process.py:1(<module>)
        2    0.000    0.000    0.000    0.000 operations.py:1(<module>)
       21    0.000    0.000    0.000    0.000 poolmanager.py:318(_merge_pool_kwargs)
      124    0.000    0.000    0.000    0.000 functions.py:85(defun)
        4    0.000    0.000    0.000    0.000 cookiejar.py:621(request_host)
        1    0.000    0.000    0.000    0.000 collate.py:1(<module>)
        1    0.000    0.000    0.002    0.002 glue.py:1(<module>)
        3    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _function_transformer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 range.py:66(RangeIndex)
        1    0.000    0.000    0.002    0.002 array_ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       24    0.000    0.000    0.000    0.000 functools.py:651(cache)
       16    0.000    0.000    0.000    0.000 _arraypad_impl.py:129(_set_pad_area)
       26    0.000    0.000    0.000    0.000 _mangling.py:46(is_mangled)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _decorator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimes.py:168(DatetimeArray)
        1    0.000    0.000    0.000    0.000 zeta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 inequalities.py:1(<module>)
       31    0.000    0.000    0.000    0.000 args_doc.py:962(get_indent_level)
        1    0.000    0.000    0.000    0.000 _flat_param.py:122(ParamInfo)
       43    0.000    0.000    0.018    0.000 dispatcher.py:147(_)
        2    0.000    0.000    0.002    0.001 autograd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _slsqp_py.py:1(<module>)
        1    0.000    0.000    0.082    0.082 _shard_utils.py:1(<module>)
        2    0.000    0.000    0.001    0.001 _helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 modeling_utils.py:4993(_get_key_renaming_mapping)
        2    0.000    0.000    0.001    0.000 sampler.py:1(<module>)
        2    0.000    0.000    0.000    0.000 triads.py:1(<module>)
        7    0.000    0.000    0.000    0.000 symbolic_shapes.py:2152(_lru_cache)
        3    0.000    0.000    0.000    0.000 traceback.py:386(from_list)
        1    0.000    0.000    0.038    0.038 graph_drawer.py:1(<module>)
       75    0.000    0.000    0.000    0.000 config.py:810(wrap)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:104(GenerationConfig)
       48    0.000    0.000    0.000    0.000 _regex_core.py:3922(_compile)
        1    0.000    0.000    0.003    0.003 autograd_function.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       25    0.000    0.000    0.000    0.000 polyoptions.py:64(__init__)
        2    0.000    0.000    0.000    0.000 fourier.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _headers.py:1(<module>)
       45    0.000    0.000    0.000    0.000 accessor.py:110(_create_delegator_method)
        1    0.000    0.000    0.000    0.000 configuration_splinter.py:1(<module>)
        9    0.000    0.000    0.000    0.000 threading.py:236(__init__)
       19    0.000    0.000    0.000    0.000 core.py:332(__init__)
        1    0.000    0.000    0.000    0.000 pretty.py:30(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 modeling_rope_utils.py:1(<module>)
        1    0.000    0.000    0.321    0.321 configuration_auto.py:1096(from_pretrained)
        1    0.000    0.000    0.001    0.001 torchbind.py:1(<module>)
       20    0.000    0.000    0.000    0.000 wait.py:102(do_poll)
        1    0.000    0.000    0.000    0.000 infer_schema.py:18(infer_schema)
        6    0.000    0.000    0.015    0.003 frame.py:1111(_values)
       12    0.000    0.000    0.000    0.000 misc.py:304(func_name)
       19    0.000    0.000    0.000    0.000 arrayprint.py:1685(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:1482(dlaplace_gen)
        1    0.000    0.000    0.000    0.000 iterables.py:781(topological_sort)
        1    0.000    0.000    0.000    0.000 extmath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenization_utils_base.py:1394(__init__)
       22    0.000    0.000    0.000    0.000 _auth.py:52(_get_token_from_google_colab)
        1    0.000    0.000    0.000    0.000 _decorators.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:481(broadcast_arrays)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        6    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:396(__str__)
        1    0.000    0.000    0.001    0.001 parametrizations.py:1(<module>)
        1    0.000    0.000    0.092    0.092 dependency_versions_check.py:1(<module>)
        1    0.000    0.000    0.002    0.002 data_parallel.py:1(<module>)
        3    0.000    0.000    0.000    0.000 tensor_parallel.py:458(__init__)
        4    0.000    0.000    0.000    0.000 common.py:1165(_is_binary_mode)
        1    0.000    0.000    0.000    0.000 line.py:50(LinearEntity)
        2    0.000    0.000    0.000    0.000 {built-in method torch.remainder}
       17    0.000    0.000    0.000    0.000 _regex_core.py:4234(open_group)
        1    0.000    0.000    0.013    0.013 _new_distributions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 blockmatrix.py:1(<module>)
       49    0.000    0.000    0.000    0.000 typing_extensions.py:1624(__instancecheck__)
        1    0.000    0.000    0.000    0.000 symbolic_opset12.py:1(<module>)
        1    0.000    0.000    0.000    0.000 edge_augmentation.py:1(<module>)
       12    0.000    0.000    0.000    0.000 deprecated.py:44(setup_docs)
        1    0.000    0.000    0.001    0.001 _polynomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _memory_viz.py:1(<module>)
       10    0.000    0.000    0.000    0.000 typing_extensions.py:633(__new__)
        8    0.000    0.000    0.000    0.000 locale.py:396(normalize)
        1    0.000    0.000    0.001    0.001 infer_schema.py:1(<module>)
        1    0.000    0.000    0.004    0.004 net_min_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 trainer_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _strptime.py:1(<module>)
        2    0.000    0.000    0.000    0.000 distance_measures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gruntz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 modeling_utils.py:925(<dictcomp>)
        1    0.000    0.000    0.000    0.000 polygon.py:25(<listcomp>)
        1    0.000    0.000    0.000    0.000 libintmath.py:126(<listcomp>)
        2    0.000    0.000    0.001    0.001 factorials.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:182(encode)
        1    0.000    0.000    0.006    0.006 _unsupervised.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dispatch_and_compile_graph.py:1(<module>)
        2    0.000    0.000    0.001    0.000 batchnorm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        5    0.000    0.000    0.002    0.000 concat.py:702(<listcomp>)
      123    0.000    0.000    0.000    0.000 _internal.py:8(get_xp)
        1    0.000    0.000    0.000    0.000 tensor_parallel.py:1(<module>)
        5    0.000    0.000    0.009    0.002 concat.py:202(_maybe_reindex_columns_na_proxy)
        1    0.000    0.000    0.000    0.000 exprtools.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:302(decorator)
       55    0.000    0.000    0.000    0.000 import_utils.py:394(get_torch_version)
       27    0.000    0.000    0.000    0.000 decorators.py:108(open_file)
      117    0.000    0.000    0.000    0.000 distributed_c10d.py:596(default_pg)
        1    0.000    0.000    0.000    0.000 constraints.py:1(<module>)
        2    0.000    0.000    0.000    0.000 common.py:304(_get_filepath_or_buffer)
        1    0.000    0.000    0.006    0.006 _ndimage_api.py:1(<module>)
       37    0.000    0.000    0.000    0.000 _internal.py:124(register_artifact_log)
        1    0.000    0.000    0.002    0.002 runtime_assert.py:1(<module>)
        1    0.000    0.000    0.037    0.037 shape_prop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adafactor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 riccati.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:69(OnnxConfig)
        1    0.000    0.000    0.000    0.000 ctx_fp.py:12(FPContext)
       58    0.000    0.000    0.000    0.000 constraint_registry.py:89(register)
