[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         2362319229 function calls (2358581797 primitive calls) in 1044.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1187659    0.542    0.000    0.542    0.000 generic.py:572(_get_axis_number)
  1186608    0.520    0.000    0.520    0.000 utils.py:62(is_list_like_indexer)
  1184304    0.480    0.000    0.480    0.000 indexing.py:161(iloc)
  2320000    0.479    0.000    0.479    0.000 indexing.py:611(at)
  2320000    0.449    0.000    0.449    0.000 indexing.py:2549(_convert_key)
  2366310    0.445    0.000    0.445    0.000 cast.py:1483(<genexpr>)
  3505332    0.443    0.000    0.443    0.000 base.py:6718(_maybe_cast_indexer)
  2325836    0.420    0.000    0.420    0.000 managers.py:180(blknos)
  2322338    0.416    0.000    0.416    0.000 generic.py:696(ndim)
  1191608    0.411    0.000    0.617    0.000 base.py:912(__len__)
     4088    0.394    0.000    0.394    0.000 {built-in method marshal.loads}
  2322346    0.389    0.000    0.389    0.000 managers.py:196(blklocs)
  1192617    0.377    0.000    0.594    0.000 range.py:999(__len__)
      576    0.377    0.001   34.458    0.060 pytorch_utils.py:175(apply_chunking_to_forward)
  186/185    0.360    0.002    0.363    0.002 {built-in method _imp.create_dynamic}
  2364083    0.360    0.000    0.360    0.000 generic.py:405(flags)
2427995/2387349    0.342    0.000    2.140    0.000 {built-in method builtins.hasattr}
  1184345    0.341    0.000    0.341    0.000 managers.py:1940(_block)
  1209780    0.335    0.000    0.337    0.000 {built-in method __new__ of type object at 0x648f802c59a0}
  2321152    0.330    0.000    0.330    0.000 {method 'index' of 'range' objects}
  1182039    0.325    0.000    0.325    0.000 managers.py:246(items)
      576    0.311    0.001   15.131    0.026 modeling_bert.py:519(forward)
     3696    0.296    0.000    0.617    0.000 import_utils.py:2309(fetch__all__)
      576    0.284    0.000    4.449    0.008 modeling_bert.py:433(forward)
  2320000    0.261    0.000    0.261    0.000 range.py:380(is_unique)
  1180040    0.251    0.000    0.251    0.000 datetimes.py:553(dtype)
      576    0.237    0.000   18.868    0.033 modeling_bert.py:506(forward)
  2972209    0.230    0.000    0.230    0.000 {method 'startswith' of 'str' objects}
  1509030    0.230    0.000    0.230    0.000 {method 'append' of 'list' objects}
  1206998    0.225    0.000    0.225    0.000 {method 'keys' of 'dict' objects}
  1182039    0.205    0.000    0.205    0.000 generic.py:363(attrs)
  2328672    0.202    0.000    0.202    0.000 {method 'clear' of 'dict' objects}
  1163160    0.200    0.000    0.200    0.000 multiarray.py:690(result_type)
  1193222    0.194    0.000    0.194    0.000 typing.py:1737(cast)
  1182044    0.194    0.000    0.194    0.000 flags.py:55(allows_duplicate_labels)
   7094/1    0.173    0.000 1044.941 1044.941 {built-in method builtins.exec}
     1184    0.166    0.000    0.167    0.000 managers.py:288(<listcomp>)
      288    0.164    0.001    0.164    0.001 {built-in method torch.embedding}
 1064/319    0.146    0.000    0.945    0.003 import_utils.py:2351(create_import_structure_from_path)
    13815    0.135    0.000    0.135    0.000 {method 'splitlines' of 'str' objects}
     1179    0.133    0.000    0.219    0.000 cast.py:123(maybe_convert_platform)
     1200    0.131    0.000    0.134    0.000 construction.py:1028(convert)
     2973    0.110    0.000    0.182    0.000 SentenceTransformer.py:1999(<listcomp>)
        1    0.109    0.109    0.109    0.109 {method 'connect' of '_socket.socket' objects}
7835/7723    0.106    0.000    0.448    0.000 {built-in method builtins.__build_class__}
        1    0.103    0.103    0.103    0.103 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       96    0.098    0.001    0.336    0.004 modeling_bert.py:149(forward)
      371    0.088    0.000    0.088    0.000 {built-in method torch.tensor}
     1460    0.086    0.000    0.086    0.000 {built-in method numpy.array}
11136/288    0.085    0.000   57.704    0.200 module.py:1755(_call_impl)
     5020    0.072    0.000    0.072    0.000 {built-in method _codecs.utf_8_decode}
    36358    0.066    0.000    0.066    0.000 {built-in method posix.stat}
     1181    0.066    0.000    0.071    0.000 cast.py:1589(construct_1d_object_array_from_listlike)
     2316    0.064    0.000    0.205    0.000 managers.py:1066(iset)
     1254    0.063    0.000    0.063    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        7    0.061    0.009    0.061    0.009 symbolic_shapes.py:2152(_lru_cache)
        3    0.060    0.020   58.742   19.581 SentenceTransformer.py:826(encode)
     1382    0.060    0.000    0.060    0.000 {method 'to' of 'torch._C.TensorBase' objects}
       96    0.052    0.001    0.123    0.001 Pooling.py:135(forward)
    46198    0.049    0.000    0.080    0.000 posixpath.py:71(join)
        1    0.034    0.034    0.034    0.034 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     5853    0.032    0.000    0.143    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
